Similarity,Student,Teacher,Student TP,Teacher SP,Overlap,Neither,Other
IAB IA A,B IAB IA,IAB A I,,,IB B IA,B IA I,B IB IAB
IAB IA IA,B IB I,IAB A B,,,AB A I,B IA A,B AB IB
IA IA I,I IAB A,IAB A IB,,,AB A IB,B IA B,B AB IAB
IA IA A,I IAB B,IA A I,,,IA A B,B IA AB,B B AB
IA IA IA,I IAB AB,IAB I A,,,IA A IB,B IA IB,B B IB
AB IB B,A IAB I,IAB I B,,,AB AB I,B IA IA,B B IAB
IB IB I,A IAB B,IAB I AB,,,AB AB IB,B IA IAB,B IAB AB
IB IB B,A IAB IB,IA I A,,,AB AB IA,A IB I,B IAB IB
IB IB IB,A IAB I,IB I B,,,AB B I,A IB A,B IB AB
IAB IB I,A IAB B,,,,AB B IA,A IB B,B IB IAB
IAB IB B,A IAB IB,,,,AB A I,A IB AB,I IAB IB
IAB IB IB,IB IAB A,,,,AB A IB,A IB IB,I IAB IA
IA IB I,IA IAB B,,,,AB IAB IB,A IB IA,A IAB AB
IB AB B,A IA I,,,,AB IAB IA,A IB IAB,A IAB IA
AB AB A,I IA A,,,,AB IA IB,A IB I,A IAB AB
AB AB B,A IA I,,,,AB IB IA,A IB A,A IAB IA
AB AB AB,B AB A,,,,AB AB I,A IB B,B AB IB
IAB AB A,IB IA A,,,,AB AB IB,A IB AB,B AB IAB
IAB AB B,I IB B,,,,AB AB IA,A IB IB,I IA IB
IAB AB AB,IA IB B,,,,AB B I,A IB IA,I IA IAB
IA AB A,A AB B,,,,AB B IA,A IB IAB,A IA AB
AB B B,A AB B,,,,AB A I,I AB I,A IA IAB
IB B B,IA AB B,,,,AB A IB,I AB A,A IA AB
IAB B B,IB AB A,,,,B IB A,I AB B,A IA IAB
AB A A,,,,,B IB IA,I AB AB,I IB IA
IAB A A,,,,,B AB I,I AB IB,I IB IAB
IA A A,,,,,B AB IA,I AB IA,A AB IA
AB AB A,,,,,B B I,I AB IAB,A AB IAB
AB AB B,,,,,B B A,I B I,A AB IA
AB AB AB,,,,,B B IA,I B A,A AB IAB
AB B B,,,,,B IB A,I B B,B B AB
AB A A,,,,,B IB IA,I B AB,B B IB
AB IAB A,,,,,B AB I,I B IB,B B IAB
AB IAB B,,,,,B AB IA,I B IA,A A AB
AB IAB AB,,,,,I IA B,I B IAB,A A IA
AB IA A,,,,,I IA AB,A B I,A A IAB
AB IB B,,,,,A IA B,A B A,A A AB
AB AB A,,,,,A IA IB,A B B,A A IA
AB AB B,,,,,A IA B,A B AB,A A IAB
AB AB AB,,,,,A IA IB,A B IB,I I IB
AB B B,,,,,I IB A,A B IA,I I IA
AB A A,,,,,I IB AB,A B IAB,I I IAB
B IAB B,,,,,A AB I,A B I,I IAB IB
B IB B,,,,,A AB IB,A B A,I IAB IA
B AB B,,,,,A AB I,A B B,A IAB AB
B B B,,,,,A AB IB,A B AB,A IAB IA
B IAB B,,,,,B B I,A B IB,A IAB AB
B IB B,,,,,B B A,A B IA,A IAB IA
I IAB I,,,,,B B IA,A B IAB,I IA IB
A IAB A,,,,,A A I,I A I,I IA IAB
A IAB A,,,,,A A B,I A A,A IA AB
B AB B,,,,,A A IB,I A B,A IA IAB
I IA I,,,,,A A I,I A AB,A IA AB
A IA A,,,,,A A B,I A IB,A IA IAB
A IA A,,,,,A A IB,I A IA,I IB IA
I IB I,,,,,I I A,I A IAB,I IB IAB
A AB A,,,,,I I B,A I I,A AB IA
A AB A,,,,,I I AB,A I A,A AB IAB
B B B,,,,,I IA B,A I B,A AB IA
A A A,,,,,I IA AB,A I AB,A AB IAB
A A A,,,,,A IA B,A I IB,B IAB AB
I I I,,,,,A IA IB,A I IA,B IAB IB
I IAB I,,,,,A IA B,A I IAB,A A AB
A IAB A,,,,,A IA IB,B A I,A A IA
A IAB A,,,,,I IB A,B A A,A A IAB
I IA I,,,,,I IB AB,B A B,A A AB
A IA A,,,,,A AB I,B A AB,A A IA
A IA A,,,,,A AB IB,B A IB,A A IAB
I IB I,,,,,A AB I,B A IA,I I IB
A AB A,,,,,A AB IB,B A IAB,I I IA
A AB A,,,,,A A I,A I I,I I IAB
B IAB B,,,,,A A B,A I A,B IB AB
A A A,,,,,A A IB,A I B,B IB IAB
A A A,,,,,A A I,A I AB,I IAB IB
I I I,,,,,A A B,A I IB,I IAB IA
B IB B,,,,,A A IB,A I IA,A IAB AB
I IAB I,,,,,I I A,A I IAB,A IAB IA
A IAB A,,,,,I I B,B I I,A IAB AB
A IAB A,,,,,I I AB,B I A,A IAB IA
IAB IAB I,,,,,B IB A,B I B,A IA AB
IAB IAB A,,,,,B IB IA,B I AB,A IA IAB
IAB IAB B,,,,,IB IAB AB,B I IB,I IA IB
IAB IAB AB,,,,,IB IAB IA,B I IA,I IA IAB
IAB IAB IB,,,,,IA IAB AB,B I IAB,A IA AB
IAB IAB IA,,,,,IA IAB IB,A IB I,A IA IAB
IAB IAB IAB,,,,,A IA B,A IB A,B AB IB
IB IAB I,,,,,A IA IB,A IB B,B AB IAB
IB IAB B,,,,,I IA B,A IB AB,IA IA IAB
IB IAB IB,,,,,I IA AB,A IB IB,IB IA IAB
IA IAB I,,,,,A IA B,A IB IA,I IB IA
IA IAB A,,,,,A IA IB,A IB IAB,I IB IAB
IA IAB IA,,,,,B AB I,A IB I,IA IB IAB
A IA A,,,,,B AB IA,A IB A,IB IB IAB
I IA I,,,,,IAB IA AB,A IB B,B B AB
A IA A,,,,,IAB IA IB,A IB AB,B B IB
B AB B,,,,,IA IA B,A IB IB,B B IAB
IAB IA I,,,,,IA IA AB,A IB IA,A AB IA
IAB IA A,,,,,IA IA IB,A IB IAB,A AB IAB
IAB IA IA,,,,,IB IA AB,I AB I,A AB IA
IA IA I,,,,,I IB A,I AB A,A AB IAB
IA IA A,,,,,I IB AB,I AB B,IA AB IAB
IA IA IA,,,,,IAB IB AB,I AB AB,IB AB IAB
IB IA I,,,,,IAB IB IA,I AB IB,IAB B AB
I IB I,,,,,IA IB AB,I AB IA,IAB B IB
IAB IB I,,,,,IB IB A,I AB IAB,IB B AB
IAB IB B,,,,,IB IB AB,I B I,IB B IAB
IAB IB IB,,,,,IB IB IA,I B A,IAB A AB
IA IB I,,,,,B B I,I B B,IAB A IA
IB IB I,,,,,B B A,I B AB,IA A AB
IB IB B,,,,,B B IA,I B IB,IA A IAB
IB IB IB,,,,,A AB I,I B IA,A A AB
B B B,,,,,A AB IB,I B IAB,A A IA
A AB A,,,,,A AB I,A B I,A A IAB
A AB A,,,,,A AB IB,A B A,A A AB
IAB AB A,,,,,IAB AB IB,A B B,A A IA
IAB AB B,,,,,IAB AB IA,A B AB,A A IAB
IAB AB AB,,,,,IA AB IB,A B IB,IAB I IB
IA AB A,,,,,IB AB IA,A B IA,IAB I IA
IB AB B,,,,,IB B A,A B IAB,IA I IB
IAB B B,,,,,IB B IA,A B I,IA I IAB
IB B B,,,,,IA A B,A B A,IB I IA
IAB A A,,,,,IA A IB,A B B,IB I IAB
IA A A,,,,,A A I,A B AB,I I IB
A A A,,,,,A A B,A B IB,I I IA
A A A,,,,,A A IB,A B IA,I I IAB
IAB I I,,,,,A A I,A B IAB,
IA I I,,,,,A A B,I A I,
IB I I,,,,,A A IB,I A A,
I I I,,,,,IA I B,I A B,
,,,,,IA I AB,I A AB,
,,,,,IB I A,I A IB,
,,,,,IB I AB,I A IA,
,,,,,I I A,I A IAB,
,,,,,I I B,B IA I,
,,,,,I I AB,B IA A,
,,,,,,B IA B,
,,,,,,B IA AB,
,,,,,,B IA IB,
,,,,,,B IA IA,
,,,,,,B IA IAB,
,,,,,,A I I,
,,,,,,A I A,
,,,,,,A I B,
,,,,,,A I AB,
,,,,,,A I IB,
,,,,,,A I IA,
,,,,,,A I IAB,
,,,,,,A I I,
,,,,,,A I A,
,,,,,,A I B,
,,,,,,A I AB,
,,,,,,A I IB,
,,,,,,A I IA,
,,,,,,A I IAB,
,,,,,,A IB I,
,,,,,,A IB A,
,,,,,,A IB B,
,,,,,,A IB AB,
,,,,,,A IB IB,
,,,,,,A IB IA,
,,,,,,A IB IAB,
,,,,,,A IB I,
,,,,,,A IB A,
,,,,,,A IB B,
,,,,,,A IB AB,
,,,,,,A IB IB,
,,,,,,A IB IA,
,,,,,,A IB IAB,
,,,,,,I AB I,
,,,,,,I AB A,
,,,,,,I AB B,
,,,,,,I AB AB,
,,,,,,I AB IB,
,,,,,,I AB IA,
,,,,,,I AB IAB,
,,,,,,A B I,
,,,,,,A B A,
,,,,,,A B B,
,,,,,,A B AB,
,,,,,,A B IB,
,,,,,,A B IA,
,,,,,,A B IAB,
,,,,,,A B I,
,,,,,,A B A,
,,,,,,A B B,
,,,,,,A B AB,
,,,,,,A B IB,
,,,,,,A B IA,
,,,,,,A B IAB,
,,,,,,I B I,
,,,,,,I B A,
,,,,,,I B B,
,,,,,,I B AB,
,,,,,,I B IB,
,,,,,,I B IA,
,,,,,,I B IAB,
,,,,,,IA B I,
,,,,,,IA B A,
,,,,,,IA B B,
,,,,,,IA B AB,
,,,,,,IA B IB,
,,,,,,IA B IA,
,,,,,,IA B IAB,
,,,,,,B A I,
,,,,,,B A A,
,,,,,,B A B,
,,,,,,B A AB,
,,,,,,B A IB,
,,,,,,B A IA,
,,,,,,B A IAB,
,,,,,,IB A I,
,,,,,,IB A A,
,,,,,,IB A B,
,,,,,,IB A AB,
,,,,,,IB A IB,
,,,,,,IB A IA,
,,,,,,IB A IAB,
,,,,,,I A I,
,,,,,,I A A,
,,,,,,I A B,
,,,,,,I A AB,
,,,,,,I A IB,
,,,,,,I A IA,
,,,,,,I A IAB,
,,,,,,B I I,
,,,,,,B I A,
,,,,,,B I B,
,,,,,,B I AB,
,,,,,,B I IB,
,,,,,,B I IA,
,,,,,,B I IAB,
,,,,,,A I I,
,,,,,,A I A,
,,,,,,A I B,
,,,,,,A I AB,
,,,,,,A I IB,
,,,,,,A I IA,
,,,,,,A I IAB,
,,,,,,A I I,
,,,,,,A I A,
,,,,,,A I B,
,,,,,,A I AB,
,,,,,,A I IB,
,,,,,,A I IA,
,,,,,,A I IAB,
