Value,Condition,Key,Teacher,Student
9.875,Teacher SP,IB,IB,B
13.40625,Overlap,IA,IB,B
9.96875,Other,IAB,IB,B
19.0625,Teacher,I,IAB,B
19.84375,Teacher,A,IAB,B
31.0625,Similarity,B,IAB,B
23.0,Other,AB,IAB,B
18.5625,Other,IB,IAB,B
3.46875,Teacher,IA,IAB,B
16.0,Teacher SP,IAB,IAB,B
33.53125,Neither,I,IA,B
10.21875,Neither,A,IA,B
52.96875,Neither,B,IA,B
8.03125,Neither,AB,IA,B
16.15625,Neither,IB,IA,B
2.46875,Neither,IA,IA,B
1.375,Neither,IAB,IA,B
54.84375,Overlap,I,AB,A
59.09375,Similarity,A,AB,A
44.59375,Teacher,B,AB,A
40.875,Teacher SP,AB,AB,A
52.375,Overlap,IB,AB,A
54.75,Other,IA,AB,A
52.3125,Other,IAB,AB,A
13.5,Neither,I,IB,A
57.46875,Neither,A,IB,A
10.5,Neither,B,IB,A
13.84375,Neither,AB,IB,A
14.84375,Neither,IB,IB,A
16.4375,Neither,IA,IB,A
16.4375,Neither,IAB,IB,A
11.5625,Teacher,I,IAB,A
86.59375,Similarity,A,IAB,A
23.125,Teacher,B,IAB,A
28.8125,Other,AB,IAB,A
40.875,Teacher,IB,IAB,A
16.4375,Other,IA,IAB,A
25.6875,Teacher SP,IAB,IAB,A
2.96875,Teacher,I,IA,A
88.21875,Similarity,A,IA,A
4.25,Overlap,B,IA,A
22.46875,Other,AB,IA,A
0.90625,Overlap,IB,IA,A
21.84375,Teacher SP,IA,IA,A
16.46875,Other,IAB,IA,A
12.875,Student,I,AB,IAB
10.0,Similarity,A,AB,IAB
2.53125,Similarity,B,AB,IAB
22.59375,Similarity,AB,AB,IAB
20.8125,Overlap,IB,AB,IAB
12.53125,Overlap,IA,AB,IAB
25.625,Student TP,IAB,AB,IAB
37.3125,Similarity,I,IB,IAB
90.78125,Student,A,IB,IAB
37.9375,Similarity,B,IB,IAB
41.9375,Overlap,AB,IB,IAB
38.4375,Similarity,IB,IB,IAB
38.4375,Overlap,IA,IB,IAB
40.15625,Student TP,IAB,IB,IAB
5.84375,Similarity,I,IAB,IAB
10.5,Similarity,A,IAB,IAB
13.5625,Similarity,B,IAB,IAB
15.21875,Similarity,AB,IAB,IAB
12.3125,Similarity,IB,IAB,IAB
10.21875,Similarity,IA,IAB,IAB
13.09375,Similarity,IAB,IAB,IAB
82.46875,Similarity,I,IA,IAB
10.21875,Similarity,A,IA,IAB
80.96875,Student,B,IA,IAB
18.15625,Overlap,AB,IA,IAB
80.1875,Overlap,IB,IA,IAB
12.1875,Similarity,IA,IA,IAB
19.40625,Student TP,IAB,IA,IAB
24.78125,Student,I,AB,IA
11.125,Similarity,A,AB,IA
1.34375,Teacher,B,AB,IA
8.28125,Teacher SP,AB,AB,IA
8.875,Overlap,IB,AB,IA
21.15625,Student TP,IA,AB,IA
9.3125,Other,IAB,AB,IA
23.0625,Similarity,I,IB,IA
21.75,Student,A,IB,IA
3.4375,Teacher,B,IB,IA
3.84375,Overlap,AB,IB,IA
11.8125,Teacher SP,IB,IB,IA
23.3125,Student TP,IA,IB,IA
13.28125,Other,IAB,IB,IA
9.9375,Similarity,I,IAB,IA
9.84375,Similarity,A,IAB,IA
22.8125,Teacher,B,IAB,IA
10.5,Overlap,AB,IAB,IA
17.40625,Overlap,IB,IAB,IA
20.125,Similarity,IA,IAB,IA
19.75,Teacher SP,IAB,IAB,IA
45.625,Similarity,I,IA,IA
13.09375,Similarity,A,IA,IA
61.90625,Overlap,B,IA,IA
11.71875,Overlap,AB,IA,IA
69.59375,Overlap,IB,IA,IA
11.34375,Similarity,IA,IA,IA
9.0625,Other,IAB,IA,IA
15.875,Student,I,AB,IB
17.78125,Teacher,A,AB,IB
38.46875,Similarity,B,AB,IB
16.28125,Teacher SP,AB,AB,IB
20.375,Student TP,IB,AB,IB
13.125,Overlap,IA,AB,IB
18.25,Other,IAB,AB,IB
5.5,Similarity,I,IB,IB
0.0,Overlap,A,IB,IB
11.625,Similarity,B,IB,IB
10.875,Overlap,AB,IB,IB
11.4375,Similarity,IB,IB,IB
5.53125,Overlap,IA,IB,IB
11.40625,Other,IAB,IB,IB
30.09375,Similarity,I,IAB,IB
9.46875,Teacher,A,IAB,IB
23.90625,Similarity,B,IAB,IB
23.6875,Overlap,AB,IAB,IB
29.53125,Similarity,IB,IAB,IB
5.09375,Overlap,IA,IAB,IB
24.5625,Teacher SP,IAB,IAB,IB
38.0625,Similarity,I,IA,IB
0.0,Teacher,A,IA,IB
0.03125,Student,B,IA,IB
0.0,Overlap,AB,IA,IB
31.65625,Student TP,IB,IA,IB
4.28125,Teacher SP,IA,IA,IB
4.28125,Other,IAB,IA,IB
21.96875,Teacher,I,IB,AB
99.53125,Student,A,IB,AB
36.3125,Similarity,B,IB,AB
42.96875,Student TP,AB,IB,AB
30.375,Teacher SP,IB,IB,AB
24.09375,Overlap,IA,IB,AB
32.90625,Other,IAB,IB,AB
16.65625,Overlap,I,AB,AB
9.625,Similarity,A,AB,AB
28.65625,Similarity,B,AB,AB
34.375,Similarity,AB,AB,AB
25.34375,Overlap,IB,AB,AB
16.5,Overlap,IA,AB,AB
26.40625,Other,IAB,AB,AB
21.78125,Teacher,I,IAB,AB
19.84375,Similarity,A,IAB,AB
26.125,Similarity,B,IAB,AB
40.0625,Similarity,AB,IAB,AB
32.3125,Overlap,IB,IAB,AB
11.03125,Overlap,IA,IAB,AB
23.78125,Teacher SP,IAB,IAB,AB
66.09375,Teacher,I,IA,AB
9.625,Similarity,A,IA,AB
59.21875,Student,B,IA,AB
47.0625,Student TP,AB,IA,AB
52.625,Overlap,IB,IA,AB
11.84375,Teacher SP,IA,IA,AB
22.125,Other,IAB,IA,AB
2.3125,Overlap,I,AB,B
9.625,Teacher,A,AB,B
54.28125,Similarity,B,AB,B
30.875,Teacher SP,AB,AB,B
7.03125,Other,IB,AB,B
3.125,Overlap,IA,AB,B
9.25,Other,IAB,AB,B
29.78125,Teacher,I,IB,B
92.5,Overlap,A,IB,B
41.8125,Similarity,B,IB,B
38.25,Other,AB,IB,B
34.0625,Teacher SP,IB,IB,B
29.90625,Overlap,IA,IB,B
32.5625,Other,IAB,IB,B
20.71875,Teacher,I,IAB,B
19.84375,Teacher,A,IAB,B
35.0,Similarity,B,IAB,B
26.625,Other,AB,IAB,B
20.125,Other,IB,IAB,B
3.65625,Teacher,IA,IAB,B
17.5,Teacher SP,IAB,IAB,B
33.84375,Neither,I,IA,B
10.21875,Neither,A,IA,B
53.09375,Neither,B,IA,B
8.03125,Neither,AB,IA,B
16.40625,Neither,IB,IA,B
2.59375,Neither,IA,IA,B
1.375,Neither,IAB,IA,B
53.78125,Overlap,I,AB,A
62.21875,Similarity,A,AB,A
37.21875,Teacher,B,AB,A
37.71875,Teacher SP,AB,AB,A
53.1875,Overlap,IB,AB,A
52.875,Other,IA,AB,A
53.1875,Other,IAB,AB,A
13.5625,Neither,I,IB,A
58.25,Neither,A,IB,A
10.1875,Neither,B,IB,A
10.53125,Neither,AB,IB,A
14.59375,Neither,IB,IB,A
16.28125,Neither,IA,IB,A
15.9375,Neither,IAB,IB,A
18.1875,Teacher,I,IAB,A
75.9375,Similarity,A,IAB,A
17.96875,Teacher,B,IAB,A
14.0625,Other,AB,IAB,A
11.8125,Teacher,IB,IAB,A
15.46875,Other,IA,IAB,A
13.03125,Teacher SP,IAB,IAB,A
21.59375,Teacher,I,IA,A
10.5625,Similarity,A,IA,A
1.09375,Overlap,B,IA,A
13.09375,Other,AB,IA,A
14.625,Overlap,IB,IA,A
11.40625,Teacher SP,IA,IA,A
14.90625,Other,IAB,IA,A
17.46875,Overlap,I,AB,AB
19.375,Similarity,A,AB,AB
51.5625,Similarity,B,AB,AB
39.28125,Similarity,AB,AB,AB
24.34375,Overlap,IB,AB,AB
18.0,Overlap,IA,AB,AB
24.40625,Other,IAB,AB,AB
0.1875,Overlap,I,AB,B
0.0,Teacher,A,AB,B
36.5,Similarity,B,AB,B
17.5625,Teacher SP,AB,AB,B
1.59375,Other,IB,AB,B
0.09375,Overlap,IA,AB,B
1.5,Other,IAB,AB,B
40.71875,Overlap,I,AB,A
79.8125,Similarity,A,AB,A
32.84375,Teacher,B,AB,A
35.34375,Teacher SP,AB,AB,A
50.375,Overlap,IB,AB,A
44.9375,Other,IA,AB,A
50.4375,Other,IAB,AB,A
22.8125,Neither,I,AB,I
9.625,Neither,A,AB,I
2.46875,Neither,B,AB,I
9.40625,Neither,AB,AB,I
3.9375,Neither,IB,AB,I
22.03125,Neither,IA,AB,I
3.75,Neither,IAB,AB,I
12.46875,Student,I,AB,IAB
9.84375,Similarity,A,AB,IAB
3.75,Similarity,B,AB,IAB
25.25,Similarity,AB,AB,IAB
20.8125,Overlap,IB,AB,IAB
12.375,Overlap,IA,AB,IAB
27.6875,Student TP,IAB,AB,IAB
23.84375,Student,I,AB,IA
9.75,Similarity,A,AB,IA
10.59375,Teacher,B,AB,IA
8.375,Teacher SP,AB,AB,IA
6.4375,Overlap,IB,AB,IA
21.375,Student TP,IA,AB,IA
5.84375,Other,IAB,AB,IA
12.5,Student,I,AB,IB
17.78125,Teacher,A,AB,IB
55.09375,Similarity,B,AB,IB
23.28125,Teacher SP,AB,AB,IB
28.5625,Student TP,IB,AB,IB
11.90625,Overlap,IA,AB,IB
25.4375,Other,IAB,AB,IB
19.875,Overlap,I,AB,AB
9.625,Similarity,A,AB,AB
54.0625,Similarity,B,AB,AB
47.96875,Similarity,AB,AB,AB
30.5625,Overlap,IB,AB,AB
19.5625,Overlap,IA,AB,AB
29.09375,Other,IAB,AB,AB
4.34375,Overlap,I,AB,B
0.0,Teacher,A,AB,B
44.03125,Similarity,B,AB,B
24.21875,Teacher SP,AB,AB,B
9.5,Other,IB,AB,B
6.1875,Overlap,IA,AB,B
10.34375,Other,IAB,AB,B
36.5,Overlap,I,AB,A
59.5,Similarity,A,AB,A
31.0,Teacher,B,AB,A
39.53125,Teacher SP,AB,AB,A
43.21875,Overlap,IB,AB,A
40.1875,Other,IA,AB,A
45.78125,Other,IAB,AB,A
25.6875,Neither,I,AB,I
20.125,Neither,A,AB,I
2.625,Neither,B,AB,I
6.59375,Neither,AB,AB,I
6.09375,Neither,IB,AB,I
23.9375,Neither,IA,AB,I
7.0,Neither,IAB,AB,I
5.40625,Student,I,B,IAB
2.53125,Student,A,B,IAB
16.875,Similarity,B,B,IAB
21.8125,Other,AB,B,IAB
31.09375,Other,IB,B,IAB
5.71875,Student,IA,B,IAB
32.90625,Student TP,IAB,B,IAB
34.9375,Neither,I,B,IA
1.59375,Neither,A,B,IA
13.96875,Neither,B,B,IA
17.46875,Neither,AB,B,IA
17.0,Neither,IB,B,IA
36.34375,Neither,IA,B,IA
18.71875,Neither,IAB,B,IA
13.8125,Student,I,B,IB
0.6875,Overlap,A,B,IB
38.6875,Similarity,B,B,IB
41.375,Other,AB,B,IB
34.375,Student TP,IB,B,IB
12.03125,Overlap,IA,B,IB
35.625,Other,IAB,B,IB
2.75,Overlap,I,B,AB
8.40625,Student,A,B,AB
36.65625,Similarity,B,B,AB
37.59375,Student TP,AB,B,AB
27.5625,Other,IB,B,AB
2.3125,Overlap,IA,B,AB
27.34375,Other,IAB,B,AB
3.53125,Overlap,I,B,B
9.1875,Overlap,A,B,B
38.8125,Similarity,B,B,B
39.625,Other,AB,B,B
26.71875,Other,IB,B,B
3.5,Overlap,IA,B,B
26.03125,Other,IAB,B,B
96.4375,Neither,I,B,A
53.625,Neither,A,B,A
15.78125,Neither,B,B,A
14.6875,Neither,AB,B,A
70.21875,Neither,IB,B,A
96.78125,Neither,IA,B,A
68.78125,Neither,IAB,B,A
35.5,Neither,I,B,I
1.71875,Neither,A,B,I
15.15625,Neither,B,B,I
19.125,Neither,AB,B,I
18.0,Neither,IB,B,I
36.71875,Neither,IA,B,I
19.90625,Neither,IAB,B,I
34.0,Student,I,B,IAB
42.4375,Student,A,B,IAB
32.0625,Similarity,B,B,IAB
34.15625,Other,AB,B,IAB
28.71875,Other,IB,B,IAB
33.71875,Student,IA,B,IAB
29.8125,Student TP,IAB,B,IAB
33.90625,Neither,I,B,IA
1.21875,Neither,A,B,IA
5.3125,Neither,B,B,IA
7.8125,Neither,AB,B,IA
14.0625,Neither,IB,B,IA
35.125,Neither,IA,B,IA
14.59375,Neither,IAB,B,IA
46.09375,Student,I,B,IB
58.8125,Overlap,A,B,IB
13.625,Similarity,B,B,IB
14.8125,Other,AB,B,IB
14.46875,Student TP,IB,B,IB
48.1875,Overlap,IA,B,IB
14.6875,Other,IAB,B,IB
15.125,Similarity,I,I,IAB
0.03125,Student,A,I,IAB
0.46875,Student,B,I,IAB
4.0,Student,AB,I,IAB
34.9375,Other,IB,I,IAB
16.28125,Other,IA,I,IAB
36.375,Student TP,IAB,I,IAB
5.09375,Student,I,A,IAB
0.0,Similarity,A,A,IAB
4.96875,Student,B,A,IAB
9.5,Other,AB,A,IAB
19.40625,Student,IB,A,IAB
6.34375,Other,IA,A,IAB
20.90625,Student TP,IAB,A,IAB
47.0625,Student,I,A,IAB
100.0,Similarity,A,A,IAB
68.15625,Student,B,A,IAB
71.125,Other,AB,A,IAB
35.125,Student,IB,A,IAB
39.28125,Other,IA,A,IAB
32.375,Student TP,IAB,A,IAB
3.3125,Overlap,I,B,AB
7.78125,Student,A,B,AB
39.90625,Similarity,B,B,AB
42.9375,Student TP,AB,B,AB
31.84375,Other,IB,B,AB
2.71875,Overlap,IA,B,AB
32.0625,Other,IAB,B,AB
18.96875,Similarity,I,I,IA
0.84375,Student,A,I,IA
38.03125,Overlap,B,I,IA
47.71875,Overlap,AB,I,IA
25.28125,Other,IB,I,IA
21.96875,Student TP,IA,I,IA
29.03125,Other,IAB,I,IA
24.59375,Student,I,A,IA
1.03125,Similarity,A,A,IA
49.03125,Overlap,B,A,IA
39.125,Other,AB,A,IA
45.3125,Overlap,IB,A,IA
27.46875,Student TP,IA,A,IA
39.46875,Other,IAB,A,IA
28.34375,Student,I,A,IA
0.3125,Similarity,A,A,IA
33.4375,Overlap,B,A,IA
26.09375,Other,AB,A,IA
43.0625,Overlap,IB,A,IA
30.90625,Student TP,IA,A,IA
38.90625,Other,IAB,A,IA
13.53125,Similarity,I,I,IB
0.0,Overlap,A,I,IB
7.71875,Student,B,I,IB
9.4375,Overlap,AB,I,IB
31.28125,Student TP,IB,I,IB
13.53125,Other,IA,I,IB
30.9375,Other,IAB,I,IB
47.0,Neither,I,A,IB
100.0,Neither,A,A,IB
38.25,Neither,B,A,IB
41.1875,Neither,AB,A,IB
24.84375,Neither,IB,A,IB
37.9375,Neither,IA,A,IB
23.25,Neither,IAB,A,IB
16.84375,Neither,I,A,IB
91.9375,Neither,A,A,IB
61.90625,Neither,B,A,IB
64.25,Neither,AB,A,IB
26.65625,Neither,IB,A,IB
18.6875,Neither,IA,A,IB
25.78125,Neither,IAB,A,IB
22.0625,Neither,I,I,AB
5.0625,Neither,A,I,AB
21.625,Neither,B,I,AB
32.3125,Neither,AB,I,AB
13.15625,Neither,IB,I,AB
18.75,Neither,IA,I,AB
13.34375,Neither,IAB,I,AB
5.8125,Overlap,I,A,AB
64.03125,Similarity,A,A,AB
50.15625,Student,B,A,AB
25.0,Student TP,AB,A,AB
9.09375,Overlap,IB,A,AB
3.59375,Other,IA,A,AB
8.53125,Other,IAB,A,AB
2.0625,Overlap,I,A,AB
65.4375,Similarity,A,A,AB
51.28125,Student,B,A,AB
29.9375,Student TP,AB,A,AB
9.4375,Overlap,IB,A,AB
1.40625,Other,IA,A,AB
11.03125,Other,IAB,A,AB
2.5,Overlap,I,B,B
9.125,Overlap,A,B,B
39.96875,Similarity,B,B,B
40.5,Other,AB,B,B
26.21875,Other,IB,B,B
2.25,Overlap,IA,B,B
25.3125,Other,IAB,B,B
10.03125,Neither,I,I,B
3.375,Neither,A,I,B
34.9375,Neither,B,I,B
21.96875,Neither,AB,I,B
3.53125,Neither,IB,I,B
10.5,Neither,IA,I,B
3.4375,Neither,IAB,I,B
0.5,Neither,I,A,B
20.125,Neither,A,A,B
33.75,Neither,B,A,B
12.25,Neither,AB,A,B
6.125,Neither,IB,A,B
0.15625,Neither,IA,A,B
6.28125,Neither,IAB,A,B
0.5,Neither,I,A,B
20.25,Neither,A,A,B
35.5625,Neither,B,A,B
13.4375,Neither,AB,A,B
5.5625,Neither,IB,A,B
0.0625,Neither,IA,A,B
5.75,Neither,IAB,A,B
6.1875,Neither,I,I,A
44.84375,Neither,A,I,A
0.0625,Neither,B,I,A
10.40625,Neither,AB,I,A
0.25,Neither,IB,I,A
4.0625,Neither,IA,I,A
0.28125,Neither,IAB,I,A
42.75,Overlap,I,A,A
90.34375,Similarity,A,A,A
19.0625,Overlap,B,A,A
34.1875,Other,AB,A,A
42.375,Overlap,IB,A,A
46.625,Other,IA,A,A
45.8125,Other,IAB,A,A
35.96875,Overlap,I,A,A
91.75,Similarity,A,A,A
33.375,Overlap,B,A,A
43.78125,Other,AB,A,A
14.0,Overlap,IB,A,A
38.65625,Other,IA,A,A
15.5625,Other,IAB,A,A
26.15625,Similarity,I,I,I
60.96875,Overlap,A,I,I
5.875,Overlap,B,I,I
1.78125,Overlap,AB,I,I
27.375,Other,IB,I,I
24.65625,Other,IA,I,I
26.9375,Other,IAB,I,I
32.84375,Neither,I,A,I
11.375,Neither,A,A,I
6.84375,Neither,B,A,I
10.15625,Neither,AB,A,I
27.40625,Neither,IB,A,I
22.09375,Neither,IA,A,I
25.59375,Neither,IAB,A,I
94.9375,Neither,I,B,A
49.875,Neither,A,B,A
15.3125,Neither,B,B,A
17.46875,Neither,AB,B,A
71.84375,Neither,IB,B,A
96.75,Neither,IA,B,A
70.25,Neither,IAB,B,A
37.1875,Neither,I,A,I
72.9375,Neither,A,A,I
43.375,Neither,B,A,I
27.0625,Neither,AB,A,I
43.625,Neither,IB,A,I
22.75,Neither,IA,A,I
39.46875,Neither,IAB,A,I
7.5625,Similarity,I,I,IAB
0.0,Student,A,I,IAB
2.03125,Student,B,I,IAB
5.46875,Student,AB,I,IAB
27.65625,Other,IB,I,IAB
7.03125,Other,IA,I,IAB
29.5,Student TP,IAB,I,IAB
15.8125,Student,I,A,IAB
0.0,Similarity,A,A,IAB
1.71875,Student,B,A,IAB
7.1875,Other,AB,A,IAB
18.625,Student,IB,A,IAB
17.84375,Other,IA,A,IAB
20.34375,Student TP,IAB,A,IAB
16.21875,Student,I,A,IAB
0.0,Similarity,A,A,IAB
1.6875,Student,B,A,IAB
6.90625,Other,AB,A,IAB
19.375,Student,IB,A,IAB
18.5,Other,IA,A,IAB
20.53125,Student TP,IAB,A,IAB
25.78125,Similarity,I,I,IA
9.3125,Student,A,I,IA
2.15625,Overlap,B,I,IA
4.25,Overlap,AB,I,IA
27.96875,Other,IB,I,IA
27.53125,Student TP,IA,I,IA
31.125,Other,IAB,I,IA
14.875,Student,I,A,IA
0.53125,Similarity,A,A,IA
2.21875,Overlap,B,A,IA
4.65625,Other,AB,A,IA
23.59375,Overlap,IB,A,IA
17.40625,Student TP,IA,A,IA
18.9375,Other,IAB,A,IA
25.09375,Student,I,A,IA
1.0625,Similarity,A,A,IA
40.375,Overlap,B,A,IA
32.6875,Other,AB,A,IA
49.71875,Overlap,IB,A,IA
26.96875,Student TP,IA,A,IA
43.4375,Other,IAB,A,IA
35.5,Neither,I,B,I
2.5625,Neither,A,B,I
15.15625,Neither,B,B,I
19.21875,Neither,AB,B,I
17.625,Neither,IB,B,I
37.53125,Neither,IA,B,I
19.4375,Neither,IAB,B,I
11.1875,Similarity,I,I,IB
6.375,Overlap,A,I,IB
8.4375,Student,B,I,IB
15.65625,Overlap,AB,I,IB
18.78125,Student TP,IB,I,IB
12.5625,Other,IA,I,IB
19.9375,Other,IAB,I,IB
44.96875,Neither,I,A,IB
100.0,Neither,A,A,IB
46.28125,Neither,B,A,IB
52.21875,Neither,AB,A,IB
30.0625,Neither,IB,A,IB
35.5,Neither,IA,A,IB
27.5,Neither,IAB,A,IB
40.25,Neither,I,A,IB
100.0,Neither,A,A,IB
40.125,Neither,B,A,IB
43.1875,Neither,AB,A,IB
28.25,Neither,IB,A,IB
32.03125,Neither,IA,A,IB
28.59375,Neither,IAB,A,IB
3.1875,Neither,I,I,AB
68.5,Neither,A,I,AB
41.21875,Neither,B,I,AB
23.34375,Neither,AB,I,AB
3.875,Neither,IB,I,AB
2.125,Neither,IA,I,AB
3.34375,Neither,IAB,I,AB
1.96875,Overlap,I,A,AB
64.3125,Similarity,A,A,AB
45.78125,Student,B,A,AB
26.40625,Student TP,AB,A,AB
9.59375,Overlap,IB,A,AB
1.1875,Other,IA,A,AB
9.3125,Other,IAB,A,AB
1.96875,Overlap,I,A,AB
65.4375,Similarity,A,A,AB
44.9375,Student,B,A,AB
26.0,Student TP,AB,A,AB
8.6875,Overlap,IB,A,AB
1.3125,Other,IA,A,AB
8.84375,Other,IAB,A,AB
34.34375,Student,I,B,IAB
5.75,Student,A,B,IAB
43.125,Similarity,B,B,IAB
46.59375,Other,AB,B,IAB
40.03125,Other,IB,B,IAB
34.9375,Student,IA,B,IAB
40.8125,Student TP,IAB,B,IAB
10.03125,Neither,I,I,B
4.25,Neither,A,I,B
35.8125,Neither,B,I,B
21.40625,Neither,AB,I,B
2.8125,Neither,IB,I,B
10.125,Neither,IA,I,B
3.3125,Neither,IAB,I,B
0.53125,Neither,I,A,B
19.6875,Neither,A,A,B
35.40625,Neither,B,A,B
13.125,Neither,AB,A,B
4.71875,Neither,IB,A,B
0.1875,Neither,IA,A,B
5.03125,Neither,IAB,A,B
0.78125,Neither,I,A,B
20.28125,Neither,A,A,B
37.28125,Neither,B,A,B
11.8125,Neither,AB,A,B
5.71875,Neither,IB,A,B
0.53125,Neither,IA,A,B
6.34375,Neither,IAB,A,B
2.875,Neither,I,I,A
37.84375,Neither,A,I,A
0.96875,Neither,B,I,A
4.59375,Neither,AB,I,A
0.09375,Neither,IB,I,A
1.59375,Neither,IA,I,A
0.125,Neither,IAB,I,A
40.5625,Overlap,I,A,A
69.6875,Similarity,A,A,A
70.84375,Overlap,B,A,A
75.21875,Other,AB,A,A
74.625,Overlap,IB,A,A
44.09375,Other,IA,A,A
69.71875,Other,IAB,A,A
37.53125,Overlap,I,A,A
100.0,Similarity,A,A,A
40.0,Overlap,B,A,A
46.6875,Other,AB,A,A
20.8125,Overlap,IB,A,A
41.5,Other,IA,A,A
23.15625,Other,IAB,A,A
29.9375,Neither,I,B,IA
2.03125,Neither,A,B,IA
13.9375,Neither,B,B,IA
17.90625,Neither,AB,B,IA
13.625,Neither,IB,B,IA
30.4375,Neither,IA,B,IA
